REGION;CITY;addr:street;addr:housenumber;SEX;count;;;
Челябинская;Челябинск;250-летия Челябинска;258;женский;28;;;
Челябинская;Челябинск;250-летия Челябинска;25А;мужской;18;;;
Челябинская;Челябинск;250-летия Челябинска;27;мужской;1;;;
Челябинская;Челябинск;250-летия Челябинска;28;женский;178;;;
Челябинская;Челябинск;250-летия Челябинска;28;мужской;131;;;
Челябинская;Челябинск;250-летия Челябинска;28А;женский;110;;;
Челябинская;Челябинск;250-летия Челябинска;28Б;мужской;85;;;
Челябинская;Челябинск;250-летия Челябинска;29А;мужской;2;;;
Челябинская;Челябинск;250-летия Челябинска;30;мужской;1;;;
Челябинская;Челябинск;250-летия Челябинска;31;женский;235;;;
Челябинская;Челябинск;250-летия Челябинска;31;мужской;164;;;
Челябинская;Челябинск;250-летия Челябинска;32;мужской;1;;;
Челябинская;Челябинск;250-летия Челябинска;34;женский;112;;;
Челябинская;Челябинск;250-летия Челябинска;34;мужской;73;;;
Челябинская;Челябинск;250-летия Челябинска;34А;женский;206;;;
Челябинская;Челябинск;250-летия Челябинска;37;мужской;139;;;
Челябинская;Челябинск;250-летия Челябинска;42;женский;1;;;
Челябинская;Челябинск;250-летия Челябинска;42;женский;80;;;
Челябинская;Челябинск;250-летия Челябинска;44А;мужской;59;;;
Челябинская;Челябинск;250-летия Челябинска;48;мужской;1;;;
Челябинская;Челябинск;250-летия Челябинска;48Б;женский;214;;;
Челябинская;Челябинск;250-летия Челябинска;5;мужской;170;;;
Челябинская;Челябинск;250-летия Челябинска;50;женский;1;;;
Челябинская;Челябинск;250-летия Челябинска;50А;женский;119;;;
Челябинская;Челябинск;250-летия Челябинска;55;мужской;82;;;
Челябинская;Челябинск;250-летия Челябинска;5А;женский;195;;;
Челябинская;Челябинск;250-летия Челябинска;5Б;мужской;133;;;
Челябинская;Челябинск;250-летия Челябинска;5В;женский;1;;;
Челябинская;Челябинск;250-летия Челябинска;6;мужской;1;;;
Челябинская;Челябинск;250-летия Челябинска;61;женский;128;;;
Челябинская;Челябинск;250-летия Челябинска;63;мужской;119;;;
Челябинская;Челябинск;250-летия Челябинска;63А;женский;157;;;
Челябинская;Челябинск;250-летия Челябинска;67;мужской;117;;;
Челябинская;Челябинск;250-летия Челябинска;71;женский;1;;;
Челябинская;Челябинск;250-летия Челябинска;71Б;женский;218;;;
Челябинская;Челябинск;250-летия Челябинска;73;мужской;172;;;
Челябинская;Челябинск;250-летия Челябинска;75;женский;240;;;
Челябинская;Челябинск;250-летия Челябинска;75А;мужской;160;;;
Челябинская;Челябинск;250-летия Челябинска;77;мужской;1;;;
Челябинская;Челябинск;250-летия Челябинска;77А;женский;202;;;
Челябинская;Челябинск;250-летия Челябинска;79;мужской;136;;;
Челябинская;Челябинск;250-летия Челябинска;8;женский;61;;;
Челябинская;Челябинск;250-летия Челябинска;85А;мужской;45;;;
Челябинская;Челябинск;250-летия Челябинска;9;женский;83;;;
Челябинская;Челябинск;250-летия Челябинска;9;мужской;61;;;
Челябинская;Челябинск;250-летия Челябинска;9Ё;женский;44;;;
Челябинская;Челябинск;250-летия Челябинска;9А;мужской;30;;;
Челябинская;Челябинск;250-летия Челябинска;9Б;женский;297;;;
Челябинская;Челябинск;250-летия Челябинска;NAN;мужской;210;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;1;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;10;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;100;женский;107;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;102;мужской;80;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;107А;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;108;женский;349;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;109;мужской;230;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;10А;женский;225;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;11;мужской;171;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;110;женский;60;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;111;мужской;26;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;113;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;113А;женский;83;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;114;мужской;58;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;115;женский;8;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;117;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;117А;женский;272;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;118;мужской;198;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;119;женский;269;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;12;мужской;196;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;12;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;120;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;122;женский;100;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;123;мужской;65;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;125;женский;68;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;127;мужской;36;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;128;женский;27;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;13;мужской;21;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;13;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;131;женский;435;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;132;мужской;276;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;133;женский;31;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;135;мужской;44;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;136;женский;3;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;136А;мужской;4;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;138;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;138А;женский;59;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;139;мужской;42;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;14;женский;59;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;14;мужской;39;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;141;женский;47;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;15;мужской;25;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;16;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;17;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;18;женский;83;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;19;мужской;54;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;1А;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;1Б;женский;109;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;1В;мужской;82;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;1Г;женский;54;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;2;мужской;35;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;20;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;21;женский;33;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;22;мужской;18;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;23;женский;75;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;23А;мужской;46;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;24;женский;48;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;25;мужской;24;;;
