source,result,postal_code,country,country_iso_code,federal_district,region_fias_id,region_kladr_id,region_iso_code,region_with_type,region_type,region_type_full,region,area_fias_id,area_kladr_id,area_with_type,area_type,area_type_full,area,city_fias_id,city_kladr_id,city_with_type,city_type,city_type_full,city,city_area,city_district_fias_id,city_district_kladr_id,city_district_with_type,city_district_type,city_district_type_full,city_district,settlement_fias_id,settlement_kladr_id,settlement_with_type,settlement_type,settlement_type_full,settlement,street_fias_id,street_kladr_id,street_with_type,street_type,street_type_full,street,house_fias_id,house_kladr_id,house_cadnum,house_type,house_type_full,house,block_type,block_type_full,block,entrance,floor,flat_fias_id,flat_cadnum,flat_type,flat_type_full,flat,flat_area,square_meter_price,flat_price,postal_box,fias_id,fias_code,fias_level,fias_actuality_state,kladr_id,capital_marker,okato,oktmo,tax_office,tax_office_legal,timezone,geo_lat,geo_lon,beltway_hit,beltway_distance,qc_geo,qc_complete,qc_house,qc,unparsed_parts,metro,med_id_1,med_id_1_division_data_id,med_id_1_name_full,med_id_1_name_short,med_id_1_division_name,med_id_1_division_house_fias,med_id_1_division_house_geo_lat,med_id_1_division_house_geo_lot,med_id_1_division_qc_geo,med_id_1_division_type,med_id_1_division_zone,,
Челябинск Челябинск Тернопольская 21 ,г Челябинск, ул Тернопольская, д 21,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,63f7a28e-8943-4f89-b2f8-0398d4fbdf05,"7,40000010000979E+016",ул Тернопольская,ул,улица,Тернопольская,74d011f8-8043-4b02-9005-59a0611be0e5,"7,40000010000979E+018",74:36:0515003:62,д,дом,21,,,,,,,,,,,,,,,74d011f8-8043-4b02-9005-59a0611be0e5,"7,4000001E+022",8,0,"7,40000010000979E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1529529,61.3711431,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Тернопольская 23а,г Челябинск, ул Тернопольская, д 21а,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,63f7a28e-8943-4f89-b2f8-0398d4fbdf05,"7,40000010000979E+016",ул Тернопольская,ул,улица,Тернопольская,35875c5c-2d64-4024-b01d-b9befb94cf99,"7,40000010000979E+018",,д,дом,23,,,,,,,,,,,,42577,,,35875c5c-2d64-4024-b01d-b9befb94cf99,"7,4000001E+022",8,0,"7,40000010000979E+018",2,75401386000,75701390,7453,7453,UTC+5,55.152444,61.3712451,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Тернопольская 23,г Челябинск, ул Тернопольская, д 23,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,63f7a28e-8943-4f89-b2f8-0398d4fbdf05,"7,40000010000979E+016",ул Тернопольская,ул,улица,Тернопольская,35875c5c-2d64-4024-b01d-b9befb94cf99,"7,40000010000979E+018",,д,дом,23а,,,,,,,,,,,,42577,,,35875c5c-2d64-4024-b01d-b9befb94cf99,"7,4000001E+022",8,0,"7,40000010000979E+018",2,75401386000,75701390,7453,7453,UTC+5,55.152444,61.3712451,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Тернопольская 121,г Челябинск, ул Тернопольская, д 121,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,63f7a28e-8943-4f89-b2f8-0398d4fbdf05,"7,40000010000979E+016",ул Тернопольская,ул,улица,Тернопольская,,,,д,дом,121,,,,,,,,,,,,,,,63f7a28e-8943-4f89-b2f8-0398d4fbdf05,"7,4000001E+022",7,0,"7,40000010000979E+016",2,75401386000,75701390,7453,7453,UTC+5,55.1572899,61.3699953,,,2,10,10,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Энтузиастов 15 ,г Челябинск, ул Энтузиастов, д 15,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,d03913b2-ed1c-4529-b99b-3630b3710b27,"7,40000010001176E+016",ул Энтузиастов,ул,улица,Энтузиастов,7f7b9164-bf4c-4656-b0a3-1f5f43e112f9,"7,40000010001176E+018",,д,дом,15,,,,,,,,,,,,52840,,,7f7b9164-bf4c-4656-b0a3-1f5f43e112f9,"7,4000001E+022",8,0,"7,40000010001176E+018",2,75401386000,75701390,7453,7453,UTC+5,55.153902,61.3765399,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Лесопарковая 7А,г Челябинск, ул Лесопарковая, д 7А,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,40000010000515E+016",ул Лесопарковая,ул,улица,Лесопарковая,2a572e6f-c77d-4a9f-bd1f-6a492b1afb03,"7,40000010000515E+018",,д,дом,7А,,,,,,,,,,,,95891,,,2a572e6f-c77d-4a9f-bd1f-6a492b1afb03,"7,4000001E+022",8,0,"7,40000010000515E+018",2,75401386000,75701390,7453,7453,UTC+5,55.156199,61.368489,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Лесопарковая 9А,г Челябинск, ул Лесопарковая, д 9А,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,40000010000515E+016",ул Лесопарковая,ул,улица,Лесопарковая,adeb6dbf-e87c-48c8-ad11-2d7fd13772dc,"7,40000010000515E+018",74:36:0515002:39,д,дом,9А,,,,,,,,,,,,,,,adeb6dbf-e87c-48c8-ad11-2d7fd13772dc,"7,4000001E+022",8,0,"7,40000010000515E+018",2,75401386000,75701390,7453,7453,UTC+5,55.153086,61.3653278,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Лесопарковая 51,г Челябинск, ул Лесопарковая, д 51,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,40000010000515E+016",ул Лесопарковая,ул,улица,Лесопарковая,,,,д,дом,51,,,,,,,,,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,4000001E+022",7,0,"7,40000010000515E+016",2,75401386000,75701390,7453,7453,UTC+5,55.153884,61.36495,,,2,10,10,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Лесопарковая 2В,г Челябинск, ул Лесопарковая, д 2В,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,40000010000515E+016",ул Лесопарковая,ул,улица,Лесопарковая,8cdedf32-62b2-4532-b50e-c3005383dbc5,"7,40000010000515E+018",,д,дом,2В,,,,,,,,,,,,,,,8cdedf32-62b2-4532-b50e-c3005383dbc5,"7,4000001E+022",8,0,"7,40000010000515E+018",2,75401386000,75701390,7453,7453,UTC+5,55.153421,61.362228,,,1,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
Челябинск Челябинск Лесопарковая 7В,г Челябинск, ул Лесопарковая, д 7В,454080,Россия,RU,Уральский,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,Челябинская обл,обл,область,Челябинская,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,г Челябинск,г,город,Челябинск,,,,р-н Центральный,р-н,район,Центральный,,,,,,,2afee447-a619-42e8-9309-2f704c85af2b,"7,40000010000515E+016",ул Лесопарковая,ул,улица,Лесопарковая,571aa513-9a0f-4197-83bb-19fc14522bbe,"7,40000010000515E+018",74:36:0515001:4184,д,дом,7В,,,,,,,,,,,,85131,,,571aa513-9a0f-4197-83bb-19fc14522bbe,"7,4000001E+022",8,0,"7,40000010000515E+018",2,75401386000,75701390,7453,7453,UTC+5,55.154933,61.368076,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ГАУЗ ОТКЗ ""ГКБ № 1 г. Челябинск""",ГКБ 1 Челябинска,Поликлиника 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Поликлиническая помощь (взрослая),10
